"Name","Row","Action"
"Juneberry","1984","Delete"
"Juniper","172","Delete"
"Kadence","1000","Delete"
"Kai","794","Delete"
"Kailani","282","Delete"
"kailani","1138","Delete"
"Kailey","840","Delete"
"Kairi","824","Delete"
"Kaisley","756","Delete"
"Kaiti","2039","Delete"
"Kaitlyn","487","Delete"
"Kali","252","Delete"
"Kallie","769","Delete"
"Kallirroi","2040","Delete"
"Kalmia","1603","Delete"
"Kamari","946","Delete"
"kamel","1139","Delete"
"Kamila","214","Delete"
"Kamilah","827","Delete"
"Kamryn","459","Delete"
"Kara","671","Delete"
"Karina","611","Delete"
"Karsyn","612","Delete"
"Karter","887","Delete"
"Kassidy","652","Delete"
"Kataleya","766","Delete"
"Katalina","557","Delete"
"Kate","411","Delete"
"Katherine","135","Delete"
"Kathryn","536","Delete"
"Katia","1641","Delete"
"Kayla","217","Delete"
"Kaylani","340","Delete"
"Kaylee","117","Delete"
"Kaylie","913","Delete"
"kazea","1141","Delete"
"Kehlani","168","Delete"
"Keilani","763","Delete"
"Keily","851","Delete"
"keira","1143","Delete"
"Keira","464","Delete"
"Kendall","314","Delete"
"Kendra","551","Delete"
"Kennedi","524","Delete"
"Kennedia","1550","Delete"
"Kenzie","369","Delete"
"Keyla","839","Delete"
"khadija","1144","Delete"
"Khalani","900","Delete"
"Khloe","160","Delete"
"Kiana","897","Delete"
"Kiara","308","Delete"
"Kimber","682","Delete"
"Kimora","962","Delete"
"Kinley","431","Delete"
"Kinsley","59","Delete"
"Kira","384","Delete"
"Kitty","1302","Delete"
"Kleio","2042","Delete"
"Koralia","2045","Delete"
"Kori","780","Delete"
"Korina","2046","Delete"
"Kyla","490","Delete"
"Kylie","132","Delete"
"Kynlee","808","Delete"
"Kyra","678","Delete"
"Kyveli","1899","Delete"
"Lacey","1985","Delete"
"Ladybird","1986","Delete"
"Laila","225","Delete"
"Lainey","364","Delete"
"Lana","390","Delete"
"Landry","879","Delete"
"Laney","657","Delete"
"lanthe","1547","Delete"
"Lara","706","Delete"
"Laura","357","Delete"
"laura","1147","Delete"
"Laura","1244","Delete"
"Laurel","683","Delete"
"Lauren","232","Delete"
"Laurenstine","1644","Delete"
"Laurestine","1574","Delete"
"Laurine","1646","Delete"
"Lauryn","713","Delete"
"Lavandula","1582","Delete"
"Lavender","1306","Delete"
"Lavender","1987","Delete"
"Leia","295","Delete"
"Leigh","1381","Delete"
"Leila","205","Delete"
"Leilani","92","Delete"
"Lena","270","Delete"
"Lennon","299","Delete"
"Lennox","587","Delete"
"Lennox","1407","Delete"
"Lenora","1426","Delete"
"Leona","482","Delete"
"Léonce","1647","Delete"
"Léonie","1648","Delete"
"Leslie","600","Delete"
"Leticia","1421","Delete"
"Lexie","911","Delete"
"Leyla","586","Delete"
"Lia","289","Delete"
"Liana","461","Delete"
"Liberty","653","Delete"
"Lila","226","Delete"
"Lilac","1587","Delete"
"Lilac","1988","Delete"
"Lilian","654","Delete"
"Liliana","110","Delete"
"Lilianna","842","Delete"
"Lilianne","1650","Delete"
"Lilibet","1989","Delete"
"Lilith","316","Delete"
